Bug ID,Product,Comp,Assignee,Status,Resolution,Summary,Opened
113431,gcc ,tree-opt ,rguenth@gcc.gnu.org ,RESO ,FIXE ,[14 Regression] Wrong code at -O3 ,2024-01-16
114386,gcc ,tree-opt ,pinskia@gcc.gnu.org ,RESO ,DUPL ,[11/12/13 Regression] Miscompile at -O1 ,2024-03-18
114314,gcc ,driver ,pinskia@gcc.gnu.org ,RESO ,FIXE ,"ICE: in common_handle_option, at opts.cc:3356 with -fno-multiflags ",2024-03-11
114198,gcc ,middle-e ,unassigned@gcc.gnu.org ,RESO ,FIXE ,"[14] RISC-V fixed-length vector -flto ICE: in vectorizable_load, at tree-vect-stmts.cc:10570 ",2024-03-01
114195,gcc ,middle-e ,unassigned@gcc.gnu.org ,RESO ,FIXE ,"[14] RISC-V vector ICE: in vectorizable_store, at tree-vect-stmts.cc:8690 ",2024-03-01
114200,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14] RISC-V fixed-length vector miscompile at -O3 ,2024-03-02
114202,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,DUPL ,[14] RISC-V rv64gcv: miscompile at -O3 ,2024-03-02
114259,gcc ,tree-opt ,unassigned@gcc.gnu.org ,RESO ,DUPL ,"[14 Regression] ICE during GIMPLE pass: slp: internal compiler error: tree check: expected class 'type', have 'exceptional' (error_mark) in useless_type_conversion_p, at gimple-expr.cc:85 ",2024-03-06
113001,gcc ,target ,law@gcc.gnu.org ,RESO ,FIXE ,"[14 Regression] RISCV Zicond ICE: in extract_insn, at recog.cc:2812 with -O2 rv64gcv_zicond ",2023-12-13
112871,gcc ,target ,law@gcc.gnu.org ,RESO ,DUPL ,"[14 Regression] RISCV ICE: in extract_insn, at recog.cc:2804 (unrecognizable insn) with -01 rv32gc_zicond ",2023-12-05
114028,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14] RISC-V rv64gcv_zvl256b: miscompile at -O3 ,2024-02-21
112971,gcc ,middle-e ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14] RISC-V rv64gcv_zvl256b vector -O3: internal compiler error: Segmentation fault signal terminated program cc1 ,2023-12-11
113796,gcc ,tree-opt ,rguenth@gcc.gnu.org ,RESO ,FIXE ,[14 Regression] ifcvt does not remove range info before folding: Runtime mismatch at -O2 ,2024-02-07
113607,gcc ,middle-e ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14] RISC-V rv64gcv vector: Runtime mismatch at -O3 ,2024-01-25
112798,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,RISC-V regression testsuite errors with rv64gcv_zve32f ,2023-12-01
112754,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,RISC-V regression testsuite errors with rv32gcv_zvl128b ,2023-11-28
112755,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,RISC-V regression testsuite errors with rv32gcv_zvl256b ,2023-11-28
112756,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,RISC-V regression testsuite errors with rv32gcv_zvl512b ,2023-11-28
112757,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,RISC-V regression testsuite errors with rv32gcv_zvl1024b ,2023-11-28
112583,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,RISC-V regression testsuite errors with rv64gcv_zvl128b ,2023-11-17
112597,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,RISC-V regression testsuite errors with rv64gcv_zvl256b ,2023-11-17
112598,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,RISC-V regression testsuite errors with rv64gcv_zvl512b ,2023-11-17
112599,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,RISC-V regression testsuite errors with rv64gcv_zvl1024b ,2023-11-17
112799,gcc ,testsuit ,unassigned@gcc.gnu.org ,RESO ,FIXE ,RISC-V regression testsuite errors with rv32gcv_zve64d ,2023-12-01
112800,gcc ,testsuit ,unassigned@gcc.gnu.org ,RESO ,FIXE ,RISC-V regression testsuite errors with rv32gcv_zve32f ,2023-12-01
112797,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,RISC-V regression testsuite errors with rv64gcv_zve64d ,2023-12-01
113087,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14] RISC-V rv64gcv vector: Runtime mismatch with rv64gc ,2023-12-19
113210,gcc ,tree-opt ,jakub@gcc.gnu.org ,RESO ,FIXE ,"[14 Regression] ICE: tree check: expected integer_cst, have cond_expr in get_len, at tree.h:6481 ",2024-01-02
113282,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,INVA ,RISC-V non-atomic union store/load reordering ,2024-01-08
113228,gcc ,middle-e ,jakub@gcc.gnu.org ,RESO ,FIXE ,"[14 Regression] ICE: recalculate_side_effects, at gimplify.cc:3347 since r14-6420 ",2024-01-04
113206,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14] RISC-V rv64gcv vector: Runtime mismatch with rv64gc ,2024-01-02
113209,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14] RISC-V rv64gcv_zvl256b vector: Runtime mismatch with rv64gc ,2024-01-02
112733,gcc ,middle-e ,jakub@gcc.gnu.org ,RESO ,FIXE ,[14 Regression] ICE: Segmentation fault in wide-int.cc during GIMPLE pass: sccp ,2023-11-27
112773,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,"[14 Regression] RISC-V ICE: in force_align_down_and_div, at poly-int.h:1828 on rv32gcv_zvl256b ",2023-11-30
112929,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14] RISC-V vector: Variable clobbered at runtime ,2023-12-09
112988,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14] RISC-V vector: Variadic function call causes runtime failure ,2023-12-12
112932,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14] RISC-V rv64gcv_zvl256b vector: Incorrect behavior with nested loop array writing ,2023-12-09
112888,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,"[14 Regression] RISCV ICE: in compute_lcm_local_properties, at config/riscv/riscv-vsetvl.cc:2695 ",2023-12-06
112851,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,"[14 Regression] RISCV ICE: vsetvl pass: in partial_subreg_p, at rtl.h:3187 on rv32gcv_zvl256b ",2023-12-04
112852,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,"[14 Regression] RISCV ICE: vsetvl pass: in partial_subreg_p, at rtl.h:3187 on rv64gcv_zvl512b ",2023-12-04
112854,gcc ,middle-e ,unassigned@gcc.gnu.org ,RESO ,FIXE ,"[14] RISCV ICE: expand: in store_integral_bit_field, at expmed.cc:1049 on rv32gcv_zvl1024b --param=riscv-autovec-preference=fixed-vlmax ",2023-12-05
112872,gcc ,middle-e ,unassigned@gcc.gnu.org ,RESO ,FIXE ,"[14 Regression] RISCV ICE: in store_integral_bit_field, at expmed.cc:1049 with -03 rv64gcv_zvl1024b --param=riscv-autovec-preference=fixed-vlmax ",2023-12-05
112855,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14] RISC-V vector: vsetivli clobbers variable value ,2023-12-05
112813,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14 Regression] RISCV ICE: vsetvl pass: in merge at config/riscv/riscv-vsetvl.cc:1968 on rv32gcv_zvl256b ,2023-12-01
112801,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14] RISC-V vector: failure to mask top bits during type conversion ,2023-12-01
112661,gcc ,tree-opt ,rsandifo@gcc.gnu.org ,RESO ,FIXE ,"[14] RISC-V ICE: in duplicate_and_interleave, at tree-vect-slp.cc:8025 with maxval_char_3.f90 vlen256b since r14-5101-g60034ecf25597b ",2023-11-21
112552,gcc ,middle-e ,unassigned@gcc.gnu.org ,RESO ,FIXE ,"[14 Regression] ICE: in expand_insn, at optabs.cc:8305 ",2023-11-15
112561,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14 Regression] Segfault only on RISC-V vector ,2023-11-16
112554,gcc ,middle-e ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14 Regression] RISC-V ICE: verify_ssa failed with -O3 --param riscv-autovec-preference=fixed-vlmax ,2023-11-15
112535,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14 regression] RISC-V ICE: error: unable to find a register to spill during RTL pass: reload ,2023-11-15
112481,gcc ,target ,ams@gcc.gnu.org ,RESO ,FIXE ,[14 Regression] RISCV: ICE: Segmentation fault when compiling pr110817-3.c ,2023-11-10
112469,gcc ,tree-opt ,rguenth@gcc.gnu.org ,RESO ,FIXE ,"[14 Regression] ICE: eliminate_stmt, at tree-ssa-sccvn.cc:6944 ",2023-11-09
111947,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,"RISC-V vector: RTL Check: expected code 'reg', have 'const_int' in rhs_regno, at rtl.h:1934 ",2023-10-23
111941,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,"RISC-V ICE: in merge, at config/riscv/riscv-vsetvl.cc:1996 ",2023-10-23
111634,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,"RISC-V vector: ICE RTL check: expected code 'reg', have 'lo_sum' in rhs_regno, at rtl.h:1934 ",2023-09-28
111649,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14 Regression] Bootstrap failure in stage 1 on riscv*-*-* since r14-4348-g9d249b7e31e ,2023-09-30
104831,gcc ,target ,patrick@rivosinc.com ,RESO ,FIXE ,RISCV libatomic LR.aq/SC.rl pair insufficient for SEQ_CST ,2022-03-07
111533,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,"[14 Regression] ICE: RTL check: expected code 'reg', have 'const_int' in rhs_regno, at rtl.h:1934 ",2023-09-22
111546,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,"[14 Regression] ICE: gfortran.dg/overload_5.f90:53:2: internal compiler error: in emit_move_insn, at expr.cc:4219 since r14-4163-gbea89f78f2f ",2023-09-22
111461,gcc ,target ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14.0 Regression] RISC-V rv32gc bootstrap ICEs with --enable-checking=rtl ,2023-09-18
110864,gcc ,rtl-opti ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14 Regression] ICE in combine.cc causes stage2 build failure on RISCV ,2023-07-31
110849,gcc ,tree-opt ,unassigned@gcc.gnu.org ,RESO ,FIXE ,[14 Regression] XPASS in gcc.dg/unroll-7.c ,2023-07-28
110759,gcc ,libfortr ,pinskia@gcc.gnu.org ,RESO ,FIXE ,[14 Regression] IEEE Fortran change broke RISC-V linux build ,2023-07-20
